User,Date,Text,Compound,Positive,Neutral,Negative,Tweets Ago
BBC,Sun Jun 10 10:11:08 +0000 2018,RT @BBCTwo: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. So here's to Polly…,0.5719,0.139,0.0,0.861,64
BBC,Sun Jun 10 10:01:05 +0000 2018,"Learning to embrace that sinking, nagging feeling we get when we realise we have made the wrong choice. 
👉… https://t.co/HlxIqK5SHb",-0.4588,0.148,0.227,0.625,65
BBC,Sun Jun 10 09:01:05 +0000 2018,How the suffragettes woke us up. https://t.co/WrXoMnNNIZ,0.0,0.0,0.0,1.0,66
BBC,Sun Jun 10 08:01:04 +0000 2018,"❤️ The moment actor Maisie Sly, who's deaf, finds out she's going to meet the Queen!  https://t.co/0D0gJq0rgE",0.0,0.0,0.0,1.0,67
BBC,Sun Jun 10 07:03:02 +0000 2018,"This elderly man was struggling slowly across a busy road in China - but luckily, help was at hand! https://t.co/xfCtAOkL6F",0.9134,0.442,0.067,0.491,68
BBC,Sat Jun 09 20:04:00 +0000 2018,"Would you describe yourself as a feminist?
#HearHer https://t.co/RZh8XfEria",0.0,0.0,0.0,1.0,69
BBC,Sat Jun 09 19:02:05 +0000 2018,"What is it like being Germaine Greer? This observational documentary spends time with her and finds out.

Germaine… https://t.co/YauZn2kit4",0.3612,0.122,0.0,0.878,70
BBC,Sat Jun 09 18:04:03 +0000 2018,"The cast of @QueerEye brought a bag of goodies along to @BBCR1's #BiggestWeekend 😍🎁

Here's what @tanfrance,… https://t.co/c82OxTDXfI",0.0,0.0,0.0,1.0,71
BBC,Sat Jun 09 17:01:05 +0000 2018,"One hundred years after some women won the right to vote, @ScarlettMoffatt tells the story of the suffragettes. https://t.co/B8gr3KbzkJ",0.5719,0.171,0.0,0.829,72
BBC,Sat Jun 09 16:04:03 +0000 2018,"A year on from the Grenfell Tower fire, Sean and his charity have been supporting children affected by the tragedy,… https://t.co/GXtypl36BW",0.4019,0.222,0.156,0.623,73
BBC,Sat Jun 09 15:02:02 +0000 2018,One shocking day of sexual violence from the police altered the suffragettes' political strategy forever.… https://t.co/O1pfqAhXLa,-0.7783,0.0,0.327,0.673,74
BBC,Sat Jun 09 14:04:02 +0000 2018,❤️️ This is what love looks like. https://t.co/Qle1eoBU5x,0.7717,0.528,0.0,0.472,75
BBC,Sat Jun 09 13:24:03 +0000 2018,"😆 @ChanningTatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",0.0,0.0,0.0,1.0,76
BBC,Sat Jun 09 13:03:06 +0000 2018,"Fifty nations are now taking action to reduce plastic pollution, according to the biggest report so far from the… https://t.co/cz3KvhuKb4",0.0,0.0,0.0,1.0,77
BBC,Sat Jun 09 12:23:25 +0000 2018,RT @BBCNews: The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's official birthd…,0.0,0.0,0.0,1.0,78
BBC,Sat Jun 09 12:03:00 +0000 2018,Your friend that likes gin will LOVE this. #TopOfTheShop 😍 #WorldGinDay https://t.co/0y9sqjluRF,0.8986,0.577,0.0,0.423,79
BBC,Sat Jun 09 11:10:52 +0000 2018,RT @BBCNews: The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke and Duchess…,0.0,0.0,0.0,1.0,80
BBC,Sat Jun 09 11:04:08 +0000 2018,"😂 Fashion sense v common sense: the battle rages on.

Is the 'fanny pack shoe' an ugly fashion step too far?
👉… https://t.co/WJ11O2gJxE",-0.8402,0.0,0.333,0.667,81
BBC,Sat Jun 09 10:10:06 +0000 2018,"As football fans across the globe look forward to #Russia2018, @mrdanwalker looks back at England's World Cup-winni… https://t.co/3w7JJV7JwI",0.0,0.0,0.0,1.0,82
BBC,Sat Jun 09 10:09:40 +0000 2018,"RT @bbcstories: Ever wondered why alcohol can seem to solve all our problems, but ends up making them even worse? This doctor’s explanation…",-0.6808,0.051,0.219,0.73,83
BBC,Sat Jun 09 08:55:42 +0000 2018,"RT @BBCBreakfast: Yep, this is real... Russian hosts are being taught how to smile to make visitors feel welcome to the World Cup. 😁
#BBCWo…",0.7717,0.268,0.0,0.732,84
BBC,Sat Jun 09 08:54:21 +0000 2018,"RT @bbcrb: Just amazing.
The WHOLE community was invited to this Iftar meal. THOUSANDS turned up! 🙌🙌 https://t.co/WAOYvHIbx3",0.6239,0.194,0.0,0.806,85
BBC,Sat Jun 09 08:53:14 +0000 2018,RT @bbccomedy: Dame Emma Thompson! ❤️ #QueensBirthdayHonours https://t.co/sGDU1GC3SU,0.0,0.0,0.0,1.0,86
BBC,Sat Jun 09 08:52:54 +0000 2018,"RT @BBC6Music: Which riffs do you wish you had written?

🤘 @st_vincent had some brilliant suggestions when she took over our Instagram toda…",0.7579,0.245,0.0,0.755,87
BBC,Sat Jun 09 08:52:46 +0000 2018,RT @BBCArtsPR: Our very own @wmarybeard has received a damehood in the Queen's birthday honours list - congratulations Mary! @bbcarts @BBCF…,0.8122,0.303,0.0,0.697,88
